"PLT_CN","ABCO_met","ABMA_met","ABSH_met","ACMA_met","CADE_met","JUNIPER_met","PICO_met","PIJE_met","PILA_met","PIMO_met","PIPO_met","POBA_met","PSME_met","QUCH_met","QUKE_met","hardwood.ba","conifer.ba","AB_PI","INVYR","ELEV_met","COND_STATUS_CD","STDAGE","FORTYPCD","OWNGRPCD","DSTRBCD1","CONDPROP_UNADJ","GSSTKCD","BALIVE","x.coord","y.coord","number.conditions","MEANING","DENS_12plus","DENS_12_24","DENS_24_36","DENS_36plus","BALIVE_sqmha"
30761930020004,5.31247572995597,0,0,0,0,0,0,0,1.73129689991228,0,0,0,12.1331383170329,0,0,0,19.1769109469011,0.754208860664962,2012,1798.23224626638,1,140,371,40,0,1,2,161.4877,-121.054791,40.257312,1,"California mixed conifer",99.0981665431184,89.2223276501112,7.40687916975537,2.46895972325179,19.1769109469011
30762442020004,1.29311323376902,0,0,0,5.80164116802751,0,0,0,7.17263956989121,0,4.41759993608153,0,12.5622252719833,0,0,0,31.2472191797526,0.100370863073562,2012,1737.27522096922,1,105,371,10,0,1,3,161.1418,-120.526336,39.846566,1,"California mixed conifer",128.72568322214,89.2223276501112,39.5033555720287,0,31.2472191797526
30762443020004,18.0955567396686,13.2601378367938,0,0,7.02987891012159,0,0,0,4.78138404156892,0,0,0,11.0652976146411,0,0,0,54.232255142794,0.867687587806748,2012,1615.36117037489,1,110,371,10,0,1,2,357.1296,-120.708482,39.789254,1,"California mixed conifer",208.015542377069,163.574267358537,32.0964764022733,12.344798616259,54.232255142794
30762444020004,20.0685991648607,27.6597496571002,0,0,0,0,0,0,1.87198103709225,0,0,0,0,0,0,0,49.6003298590532,0.962258697826975,2012,1798.23224626638,1,140,262,10,22,1,2,252.9742,-121.079607,40.391199,1,"Red fir",193.031895231035,118.963103533482,66.6619125277984,7.40687916975537,49.6003298590532
30762447020004,0,0,0,0,0,0,0,0,0,0,9.98412117443008,0,0,0,0,0,9.98412117443008,0,2012,1371.53306918622,1,55,922,10,0,1,2,162.1712,-120.898584,39.997158,1,"California black oak",89.2223276501112,89.2223276501112,0,0,9.98412117443008
30762449020004,0,0,0,0,0,0,0,0,0,0,7.12850171269697,0,30.2880015244193,0,0,0,37.4165032371163,0,2012,1127.70496799756,1,250,371,10,0,1,2,212.8668,-121.011865,39.949067,1,"California mixed conifer",103.922826785273,59.4815517667408,29.6275166790215,14.8137583395107,37.4165032371163
30762453020004,0,0,0,0,0,0,0,0,0,0,17.4060870100637,0,9.19526229181553,0,3.41253494149124,3.41253494149124,26.6013493018792,0,2012,1493.44711978055,1,120,371,10,0,1,2,157.3109,-121.208026,40.109221,1,"California mixed conifer",106.391786508525,59.4815517667408,41.9723152952805,4.93791944650358,30.0138842433704
30762454020004,1.85734794587567,0,0,0,23.0870166439181,0,0,0,3.18957024040449,0,13.9306946444468,0,12.977702455559,0,0,0,55.042331930204,0.0978704730907154,2012,1615.36117037489,1,310,371,10,0,1,2,271.5814,-121.022786,40.095523,1,"California mixed conifer",118.679955522609,44.6111638250556,41.9723152952805,32.0964764022733,55.042331930204
30762455020004,0.738751233111631,70.1443880869116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.8831393200232,1,2012,2042.06034745504,1,210,262,10,22,1,2,317.687,-121.210244,39.95283,1,"Red fir",185.398497652582,59.4815517667408,98.7583889300717,27.1585569557697,70.8831393200232
30762548020004,59.3986943183013,0,0,0,2.71831278559833,0,0,0,0,0,0,0,0,0,0,0,62.1170071038996,1,2012,1615.36117037489,1,68,261,10,0,1,2,274.0571,-121.08689,39.721142,1,"White fir",138.2617445021,0,130.854865332345,7.40687916975537,62.1170071038996
30762878020004,11.043463675728,0,0,0,3.48613063962099,0,0,0,1.51483474415524,0,0,0,12.8846468001203,0,0,0,28.9290758596245,0.879375796504657,2012,1554.40414507772,1,85,371,10,22,1,3,146.7954,-120.520099,39.695591,1,"California mixed conifer",148.590620212503,118.963103533482,27.1585569557697,2.46895972325179,28.9290758596245
30763167020004,14.2135360623124,4.35177509656019,0,0,1.02333478744092,0,0,0,10.1719373857169,0,0,0,0,0,0,0,29.7605833320304,0.646036489195066,2012,1737.27522096922,1,140,371,40,0,1,3,161.1588,-121.540619,40.253098,1,"California mixed conifer",136.18919199407,104.092715591796,24.6895972325179,7.40687916975537,29.7605833320304
