site,id,elev_mean,slope,aspect_num,aspect_cat,cwd_mean8110,cwd_jun_mean8110,aet_mean8110,spk_mean8110,ppt_mean8110,tmx_mean8110
lassen,28052914,1419.9524408427544,19.96665617487147,86.48075103759766,NE,488.2832946777344,67.81600189208984,401.55670166015625,561.6953125,1610.356689453125,16.06329917907715
lassen,28050312,1658.1510245992645,13.276976351568996,189.06045532226562,SW,508.6300048828125,90.41729736328125,303.3699951171875,531.614990234375,1243.5067138671875,14.66670036315918
lassen,28073016,1392.8500152279632,5.038284346506451,50.638938903808594,NE,NA,NA,NA,NA,882.32501220703125,16.604999542236328
lassen,29053210,1713.408911682129,6.308637494426221,131.875732421875,NE,501.41668701171875,87.02799987792969,294.7732849121094,573.9119873046875,1264.0032958984375,14.663299560546875
lassen,28051801,1685.8315157430627,6.08137410624441,140.9535369873047,SW,517.7099914550781,91.5109977722168,333.5699920654297,562.5140075683594,1420.058349609375,14.556650161743164
lassen,28062612,1467.6289994772035,1.466178633223849,71.75203704833984,NE,582.2316589355469,118.34400177001953,322.7716522216797,273.3281555175781,936.8016662597656,15.914999961853027
lassen,28042310,1712.271753156962,7.991491531840964,96.48699188232422,NE,528.87750244140625,91.8936767578125,346.86419677734375,520.84149169921875,1488.6725463867188,14.57165002822876
lassen,29072715,1715.0191325930919,10.32416185434747,336.41790771484375,NE,524.7458190917969,98.065826416015625,291.7008514404297,403.6775207519531,968.4974822998047,14.340825080871582
lassen,28050211,1663.1237939989967,7.0248300869722735,91.855987548828125,NE,512.1066436767578,94.30864715576172,296.1750030517578,519.8302917480469,1205.9266967773438,14.730000019073486
lassen,29071809,1580.6394703099634,20.16107248095723,225.0754852294922,SW,573.626708984375,112.60700225830078,303.54669189453125,351.4103088378906,955.72332763671875,15.3100004196167
lassen,29072714,1672.110962312551,8.100993976499621,235.07211303710938,SW,509.2366485595703,88.91350173950195,308.7799987792969,399.57435607910156,963.1766357421875,14.308349609375
lassen,28063215,1613.1683700462884,16.331750852678738,101.36182403564453,NE,311.97999572753906,12.81867504119873,526.4549865722656,444.21665954589844,1126.7658386230469,14.9375
lassen,28051112,1678.073755416521,6.148467120141109,189.49545288085938,SW,474.62664794921875,69.69700050354004,339.28834533691406,542.5358581542969,1267.5499877929688,14.668349742889404
lassen,29053509,1757.183338607595,15.850536439147177,185.47315979003906,SW,517.558349609375,94.57550048828125,282.43165588378906,505.8351593017578,1114.8800048828125,14.264999866485596
lassen,28050716,1688.3651890110325,10.523205161129518,47.03418731689453,NE,517.0966796875,92.08899688720703,331.56671142578125,560.6240234375,1407.2032470703125,14.586700439453125
lassen,28051101,1627.8166720906243,16.727976649782054,133.1889190673828,NE,521.14337158203125,96.80170059204102,297.3267059326172,511.9464874267578,1197.4317016601562,14.748349666595459
lassen,28052004,1647.352978743906,9.391714933637244,16.181503295898438,NE,530.1341705322266,94.10699844360352,343.98499298095703,572.2637176513672,1482.8916931152344,14.903325080871582
lassen,28062404,1440.4184061832145,5.85073612187822,34.4930419921875,NE,577.34002685546875,118.74499893188477,312.34999084472656,276.9051971435547,906.0332946777344,16.061650276184082
lassen,28052504,1496.6600768491999,7.68388486064694,182.19444274902344,SW,511.1216583251953,82.64630126953125,386.37335205078125,501.29649353027344,1330.3766479492188,15.751649856567383
lassen,29063207,1692.61595273609,16.811191941896254,55.41817092895508,NE,522.219970703125,100.90670013427734,289.3399963378906,425.1966857910156,1005.6500244140625,14.479999542236328
lassen,28063206,1512.3130200820708,10.328857299265865,60.13658905029297,NE,283.10253143310547,0,575.1133575439453,423.6063995361328,1154.5808410644531,15.580824851989746
lassen,28053110,1381.3474252319336,20.06415666806698,39.202491760253906,NE,392.89332580566406,25.85114884376526,510.2133331298828,528.3908996582031,1631.8466796875,16.24917507171631
lassen,28051502,1627.3160972349592,7.894880982317098,268.46392822265625,SW,442.4866485595703,48.6161994934082,383.3983459472656,536.94482421875,1315.2350463867188,15.031700134277344
lassen,28062211,1534.911526474656,9.212513839414246,189.56076049804688,SW,361.7099914550781,13.93917465209961,521.0833282470703,352.5237579345703,1004.6150054931641,15.25582504272461
lassen,28052014,1401.8018205309547,10.955343287510454,186.41323852539062,SW,426.19329833984375,29.622699737548828,469.5299987792969,529.385986328125,1548.193359375,16.183300018310547
lassen,28051803,1764.7043206402261,8.131539145083694,119.81098937988281,NE,516.66998291015625,88.33399963378906,332.8655598958333,563.4128011067709,1423.4877522786458,14.261099815368652
lassen,28062110,1508.8042891810894,3.6504756698390377,195.04083251953125,SW,495.1175003051758,61.4174747467041,405.06832122802734,354.26200103759766,1033.130859375,15.676699876785278
lassen,29063014,1796.4277729011671,4.086196612433399,236.09384155273438,SW,464.191650390625,64.93634986877441,316.85169982910156,448.8374938964844,1033.556640625,13.90500020980835
lassen,28052203,1450.5829814254616,11.749943988064343,252.09022521972656,SW,500.4566955566406,76.26200103759766,389.1966857910156,502.72698974609375,1402.2366943359375,15.973299980163574
lassen,28041605,1652.4761432327387,26.10114082443805,186.42587280273438,SW,443.308349609375,45.90934944152832,405.30665588378906,457.47430419921875,1417.125,14.815000057220459
lassen,28041612,1517.0971826241662,26.03940583865605,113.80491638183594,NE,418.88330078125,31.073699951171875,461.4200134277344,386.7980041503906,1395.933349609375,15.456700325012207
lassen,28041012,1726.4202417539282,11.88335390025828,53.740909576416016,NE,499.5950012207031,89.55230331420898,318.6066589355469,516.6071472167969,1444.9465942382812,14.610000133514404
