site,id,elev_mean,slope,aspect_num,aspect_cat,cwd_mean8110,cwd_jun_mean8110,aet_mean8110,spk_mean8110,ppt_mean8110,tmx_mean8110,tmx_jja_mean8110
lassen,30761671020004,1574.8458251953125,2.3524229526519775,18.71832275390625,NE,621.65667724609375,134.58999633789062,261.7867126464844,139.7169952392578,552.63330078125,15.199999809265137,26.26259994506836
lassen,30761672020004,1807.9775390625,19.714509963989258,353.36871337890625,NE,479.6199951171875,75.7322998046875,290.91668701171875,418.54669189453125,887.876708984375,13.15999984741211,23.28420066833496
lassen,30761930020004,1742.3470458984375,12.418864250183105,22.60283660888672,NE,417.0400085449219,22.5762996673584,419.4200134277344,308.3599853515625,889.93670654296875,14.653300285339355,25.08340072631836
lassen,30762443020004,1622.962158203125,13.472661018371582,66.19405364990234,NE,453.79998779296875,51.49100112915039,429.8399963378906,464.1492919921875,1443.4100341796875,16.020000457763672,26.09040069580078
lassen,30762444020004,1743.171630859375,2.7121427059173584,305.10760498046875,SW,492.70330810546875,79.32869720458984,304.3266906738281,483.3143005371094,989.3499755859375,14.046699523925781,24.549800872802734
lassen,30762449020004,1220.558349609375,23.616132736206055,316.11920166015625,NE,639.7467041015625,131.67129516601562,376.9566955566406,58.2692985534668,1060.083251953125,18.946699142456055,30.07270050048828
lassen,30762454020004,1675.867919921875,11.758115768432617,213.64520263671875,SW,620.11328125,127.26100158691406,339.5199890136719,209.97430419921875,1146.02001953125,15.1899995803833,25.048900604248047
lassen,30762456020004,1371.4859619140625,17.203649520874023,272.2239685058594,SW,546.3599853515625,103.81670379638672,403.6000061035156,384.6792907714844,1953.643310546875,16.63330078125,26.412599563598633
lassen,30762548020004,1601.54052734375,12.415091514587402,164.70074462890625,SW,646.71331787109375,126.22969818115234,448.5766906738281,183.8852996826172,2004.443359375,16.50670051574707,25.383100509643555
lassen,30763167020004,1702.81298828125,3.7782793045043945,106.80622863769531,NE,472.2432861328125,61.58399963378906,392.4700012207031,440.9512939453125,1468.7266845703125,14.91670036315918,24.52669906616211
lassen,44540717020004,1714.8922119140625,11.747944831848145,215.60009765625,SW,548.20001220703125,106.65470123291016,274.30670166015625,402.6600036621094,922.8466796875,14.293299674987793,24.683000564575195
lassen,44540980020004,1763.564208984375,3.915203332901001,261.94793701171875,SW,593.47998046875,119.52999877929687,398.83331298828125,362.4212951660156,1981.82666015625,15.896699905395508,24.67569923400879
lassen,44541626020004,1776.071044921875,18.004497528076172,233.24803161621094,SW,546.31329345703125,106.99430084228516,348.6366882324219,414.69000244140625,1444.4100341796875,14.663299560546875,24.226299285888672
lassen,44541863020004,1582.7562255859375,17.299270629882813,158.06317138671875,SW,618.44000244140625,124.1063003540039,268.4067077636719,291.1050109863281,936.18328857421875,15.046699523925781,25.222700119018555
lassen,44542187020004,1837.7041015625,10.975353240966797,149.74014282226562,SW,545.356689453125,102.01529693603516,310.1532897949219,498.2560119628906,1184.6700439453125,14.546699523925781,24.957700729370117
lassen,44543398020004,1557.24609375,10.163630485534668,230.3601531982422,SW,576.41998291015625,108.65730285644531,432.2232971191406,70.2677001953125,1123.57666015625,16.74329948425293,26.746400833129883
lassen,48202845010497,1264.5479736328125,27.665212631225586,269.1004638671875,SW,573.43670654296875,108.14730072021484,424.92999267578125,181.1613006591797,1956.7833251953125,17.450000762939453,27.083799362182617
lassen,48203209010497,1169.2410888671875,34.97057342529297,265.92596435546875,SW,626.28668212890625,128.21929931640625,379.760009765625,17.31130027770996,1809.93994140625,18.83329963684082,28.595300674438477
lassen,48203331010497,1576.638671875,31.550600051879883,33.72591018676758,NE,627.780029296875,132.1947021484375,272.9732971191406,260.3212890625,975.31671142578125,16.066699981689453,26.661800384521484
lassen,48203487010497,1742.5970458984375,11.607109069824219,104.35665893554687,NE,592.969970703125,115.15670013427734,415.13330078125,446.7333068847656,1962.4866943359375,15.526700019836426,24.481399536132812
lassen,48204836010497,1456.669677734375,17.609621047973633,15.304420471191406,NE,487.8599853515625,87.9280014038086,317.8467102050781,514.4749755859375,1443.9599609375,15.066699981689453,25.165300369262695
lassen,48204842010497,1954.53369140625,14.723362922668457,288.58203125,SW,569.2366943359375,109.0510025024414,305.5367126464844,335.1839904785156,1025.4599609375,13.460000038146973,22.899900436401367
lassen,48204843010497,1067.6773681640625,0.05682476609945297,220.60128784179687,SW,664.0067138671875,145.2967071533203,355.1199951171875,47.086299896240234,1000.2766723632812,19.566699981689453,30.6697998046875
lassen,48204846010497,1266.700927734375,9.546369552612305,23.6995849609375,NE,528.66668701171875,84.7686996459961,430.0032958984375,178.4846954345703,1197,17.91670036315918,28.860000610351562
lassen,48205344010497,1352.2696533203125,16.72787857055664,294.9044494628906,SW,452.55670166015625,48.05929946899414,504.06671142578125,178.76629638671875,1645.0999755859375,16.9867000579834,26.91320037841797
lassen,48205474010497,1466.56396484375,2.7333953380584717,171.40301513671875,SW,562.8800048828125,99.2490005493164,348.2767028808594,94.59770202636719,563.34002685546875,15.960000038146973,26.94339942932129
lassen,48205712010497,1590.0552978515625,12.179887771606445,125.14019775390625,NE,562.353271484375,112.70500183105469,331.510009765625,396.4377136230469,1418.2667236328125,16.229999542236328,26.091400146484375
lassen,216958686020004,1275.202392578125,10.299939155578613,61.12731170654297,NE,603.55999755859375,124.10970306396484,382.56329345703125,152.13229370117187,1853.8900146484375,17.27669906616211,27.052900314331055
lassen,216959057020004,1741.9896240234375,8.674156188964844,59.39911651611328,NE,489.67669677734375,80.69429779052734,304.1099853515625,512.41302490234375,1105.57666015625,14.246700286865234,24.540199279785156
