site,id,elev_mean
lassen,29063306,1609.9168404368318
lassen,28042208,1732.524705126442
lassen,28060731,1755.6221724200698
lassen,29052905,1723.9624671216282
lassen,28052406,1533.5378300974382
lassen,29063213,1759.3867966940452
lassen,29053413,1673.1277186346654
lassen,28041216,1770.66562139491
lassen,28051012,1440.1940661975452
lassen,28053107,1370.145567907721
lassen,29052404,1577.4803839286403
lassen,28053207,1367.403376107264
lassen,28050308,1686.3089231026368
lassen,29053502,1799.2070687219052
lassen,28062513,1418.9919837696848
lassen,28052216,1438.8654195913684
lassen,28052310,1543.8058740720228
lassen,29063115,1745.854653112273
lassen,28050215,1668.2293901167193
lassen,28041516,1740.744859845369
lassen,28052206,1415.6859933404137
lassen,29052710,1795.1338488042775
lassen,28042312,1660.4430495463146
lassen,28063511,1472.5298272271425
lassen,28051314,1530.907692272968
lassen,29053212,1660.1102915843603
lassen,29053209,1716.7662474728875
lassen,28041001,1582.3433711064326
lassen,28041008,1583.3899076801945
lassen,28073008,1373.1861484059184
lassen,28053009,1460.7618939208985
lassen,28041114,1591.7550888671874
lassen,28040308,1503.685730987845
lassen,29063132,1801.4498838017325
lassen,28050916,1446.7520103300149
lassen,28050903,1570.8958594267351
lassen,29061711,1692.0624548293692
lassen,28042405,1657.1201121334443
lassen,28050906,1514.80224181167
lassen,29053415,1622.6085255889739
lassen,29043501,1631.6952942769478
lassen,29053507,1772.891802672886
lassen,29062905,1620.607614491623
lassen,28051102,1655.3229774718172
lassen,28052302,1656.5312419222607
lassen,28043409,1546.8905184326172
lassen,28052911,1403.0861630673642
lassen,29061810,1628.0236209259397
lassen,29063131,1797.6395212758737
lassen,28041111,1571.0356684594606
lassen,28052712,1556.84645260394
lassen,28052315,1501.7271013825307
lassen,28061801,1660.6859314967412
lassen,29063034,1799.6154766533318
lassen,28051306,1543.716552174134
lassen,28042205,1634.644807878
lassen,29043604,1628.2428902156025
lassen,28040906,1662.6882093785923
lassen,28052112,1418.8377968054217
lassen,28042202,1761.0455229909796
lassen,28053106,1392.7824261279322
lassen,28052305,1577.3896455972501
lassen,28042107,1429.6024352332447
lassen,28062002,1526.1641791505672
lassen,28063101,1514.6832230502666
lassen,28041609,1730.848709952535
lassen,28040215,1633.7762736893628
lassen,28060212,1452.0810432174073
lassen,28052903,1406.7702378481404
lassen,28073033,1406.4294538848253
lassen,28061102,1448.607615916698
lassen,28041615,1632.860256697438
lassen,28042604,1504.735677143884
lassen,28041515,1733.235239548456
lassen,28040112,1769.2861265604201
lassen,29052614,1822.4504203553174
lassen,28050715,1716.5708445326786
lassen,28051005,1445.793049908299
lassen,29062410,1534.7513383380233
lassen,28062710,1471.5884235406988
lassen,28061138,1472.9373390274818
lassen,29061713,1578.4063329385529
lassen,29063110,1764.3862403861976
lassen,29053306,1685.043682255262
lassen,28051931,1713.9324424230613
lassen,28051406,1660.6985591123982
lassen,29063008,1582.8468339528897
lassen,28051307,1578.5331741549664
lassen,28052906,1393.8855845815674
lassen,28042506,1584.1967743105627
lassen,28051210,1670.2102097349273
lassen,28053210,1419.5946963829817
lassen,28062516,1418.639628371913
lassen,28043506,1513.632190655197
lassen,28042505,1609.087291162629
lassen,28061612,1683.5085364220674
lassen,28042211,1610.6778835847722
lassen,28052005,1625.9055413848725
lassen,28052503,1494.93202935791
lassen,29042210,1596.763963007832
lassen,28073204,1380.2687888520966
lassen,28073116,1395.6974249677696
lassen,29063315,1540.2136200374373
lassen,28043604,1438.3746779226458
lassen,28042215,1553.6657602601872
lassen,28041506,1706.5440635896673
lassen,28041502,1730.2235004450217
lassen,28042311,1720.354619015363
lassen,29042609,1576.7764725198942
lassen,28042409,1547.743693313374
lassen,28061833,1648.1893357222725
lassen,28041113,1606.6964768441726
lassen,29042716,1430.665830087732
lassen,28052716,1501.577737476179
lassen,28063105,1620.9238469672337
lassen,28063103,1533.7834856288152
lassen,29042706,1513.7525015699048
lassen,28062613,1468.4978832242975
lassen,28040816,1656.0963168127935
lassen,28040313,1576.530180116246
lassen,28040311,1505.724292814873
lassen,28043609,1466.5824184013543
lassen,29053208,1710.6898048343514
lassen,28052806,1539.7113451375142
lassen,29042110,1774.0836905596634
lassen,28062708,1476.2477931602327
lassen,28063034,1502.2514693762153
lassen,28062502,1417.6435699388999
lassen,28040409,1406.991887769512
lassen,28073010,1404.996796011137
lassen,29053006,1693.401103393108
lassen,28061407,1475.5454576568964
lassen,28051407,1646.2124893904322
lassen,28052208,1515.5472491653939
lassen,28040207,1687.1755445830677
lassen,29063007,1583.5680416303062
lassen,28040115,1790.5234518138286
lassen,29042807,1701.6436113695254
lassen,28042410,1654.8388233231312
lassen,28050912,1463.2029070964857
lassen,28041009,1591.6195757650503
lassen,29062712,1495.4535444086591
lassen,28052908,1531.181136424177
lassen,28071934,1389.004735767598
lassen,29053315,1658.488648968754
lassen,28051514,1496.7005123704334
