site,id,elev_mean
lassen,30761671020004,1574.8458251953125
lassen,30761672020004,1807.9775390625
lassen,30761930020004,1742.3470458984375
lassen,30762443020004,1622.962158203125
lassen,30762444020004,1743.171630859375
lassen,30762449020004,1220.558349609375
lassen,30762454020004,1675.867919921875
lassen,30762456020004,1371.4859619140625
lassen,30762548020004,1601.54052734375
lassen,30763167020004,1702.81298828125
lassen,44540717020004,1714.8922119140625
lassen,44540980020004,1763.564208984375
lassen,44541626020004,1776.071044921875
lassen,44541863020004,1582.7562255859375
lassen,44542187020004,1837.7041015625
lassen,44543398020004,1557.24609375
lassen,48202845010497,1264.5479736328125
lassen,48203209010497,1169.2410888671875
lassen,48203331010497,1576.638671875
lassen,48203487010497,1742.5970458984375
lassen,48204836010497,1456.669677734375
lassen,48204842010497,1954.53369140625
lassen,48204843010497,1067.6773681640625
lassen,48204846010497,1266.700927734375
lassen,48205344010497,1352.2696533203125
lassen,48205474010497,1466.56396484375
lassen,48205712010497,1590.0552978515625
lassen,216958686020004,1275.202392578125
lassen,216959057020004,1741.9896240234375
lassen,216959065020004,1438.1292724609375
lassen,216960495020004,1754.0225830078125
lassen,216960716020004,1757.775390625
lassen,216961674020004,1731.9285888671875
lassen,273641296489998,1569.6370849609375
lassen,273641671489998,1422.3988037109375
lassen,273641681489998,1524.7625732421875
lassen,273641912489998,1175.4024658203125
lassen,273642076489998,2024.381591796875
lassen,273642194489998,1657.3385009765625
lassen,345933354489998,1912.2392578125
lassen,345935174489998,1918.1722412109375
lassen,345935510489998,1153.2493896484375
lassen,345935591489998,1339.250244140625
lassen,345936732489998,1830.6915283203125
lassen,345936733489998,1696.6549072265625
lassen,345936735489998,1686.5152587890625
lassen,345936738489998,1923.5589599609375
lassen,412220907489998,1198.437255859375
lassen,412221203489998,1841.3385009765625
lassen,412221231489998,1294.755126953125
lassen,412221257489998,1523.6876220703125
lassen,412221818489998,1839.1776123046875
lassen,412221914489998,1592.196044921875
lassen,412222094489998,1521.3917236328125
lassen,412222203489998,1724.242431640625
lassen,412222243489998,1623.5145263671875
lassen,412222251489998,1414.5587158203125
lassen,412222299489998,1706.8121337890625
lassen,412222518489998,1687.105224609375
lassen,412223017489998,1642.814697265625
lassen,412223117489998,1499.2598876953125
lassen,412223120489998,1845.8360595703125
lassen,484816145489998,1740.7147216796875
lassen,484816190489998,1781.880126953125
lassen,484816396489998,1856.8165283203125
lassen,484816509489998,1678.6654052734375
lassen,484816511489998,1929.892578125
lassen,484816518489998,1523.2481689453125
lassen,484816523489998,1380.192626953125
lassen,484816562489998,1870.4007568359375
lassen,484816563489998,1369.0419921875
