site,id,elev_extract,cwd_mean8110,cwd_jun_mean8110,aet_mean8110,spk_mean8110,ppt_mean8110,tmx_mean8110,slope,aspect_num,aspect_cat
eldo,8935129010901,2117.8740234375,471.0766906738281,53.3557014465332,432.7767028808594,476.4233093261719,1320,14.276700019836426,12.691123962402344,255.95936584472656,SW
eldo,13157752010497,2177.240966796875,454.3533020019531,62.69269943237305,381.45001220703125,787.2623291015625,1724.0899658203125,13.216699600219727,15.43655776977539,317.955322265625,NE
eldo,40224553010497,1526.090087890625,637.8599853515625,132.35400390625,402.2066955566406,75.4906997680664,1446.2066650390625,17.979999542236328,5.758922576904297,223.26963806152344,SW
eldo,13100933010497,2284.710693359375,281.67669677734375,2.745699882507324,485.8266906738281,741.5579833984375,1446.9000244140625,12.300000190734863,19.222043991088867,19.76923370361328,NE
eldo,23654710010900,1923.553466796875,580.0999755859375,106.0186996459961,488.7900085449219,102.12470245361328,1415.316650390625,16.440000534057617,29.044252395629883,8.2335357666015625,NE
eldo,11898,1681.5108642578125,546.90997314453125,94.87870025634766,457.93670654296875,178.02830505371094,1401.3299560546875,16.74329948425293,2.216282844543457,314.62738037109375,SW
eldo,24274658010900,1380.97119140625,586.126708984375,103.33100128173828,498.7099914550781,92.637298583984375,1706.4466552734375,17.466699600219727,10.803168296813965,242.7626190185547,SW
eldo,11919,1853.73974609375,585.9666748046875,109.3270034790039,445.55670166015625,266.67730712890625,1626.5067138671875,15.993300437927246,4.997657775878906,353.5851135253906,NE
eldo,23775896010900,1430.326416015625,678.1099853515625,130.84869384765625,502.2666931152344,31.524700164794922,1598.126708984375,17.790000915527344,5.089707851409912,341.41180419921875,NE
eldo,29394780010497,1789.688720703125,528.6500244140625,85.2249984741211,449.893310546875,378.51971435546875,1671.6500244140625,15.566699981689453,2.112496852874756,262.5058288574219,SW
eldo,29880785010497,2149.466064453125,563.29327392578125,111.918701171875,315.5400085449219,343.75,1244.5999755859375,13.859999656677246,7.712701320648193,22.51445770263672,NE
eldo,29880313010497,1908.0986328125,528.123291015625,101.30000305175781,352.83331298828125,660.7476806640625,1681.0899658203125,14.170000076293945,19.68079376220703,259.87933349609375,SW
