CN,PREV_PLT_C,INVYR,PLOT,LAT,LON,ELEV,ELEV_met,PLOT_cond,STDAGE_cond,FORTYPCD_cond,OWNGRPCD_cond,DSTRBCD_cond,CONDPROP_cond,PLOT_tree,DENS_6plus,DENS_6_12,DENS_12_24,DENS_24_36,DENS_36plus,BALIVE_sqftac,BALIVE_sqmha,BALIVE_sqmha_check,ABCO_met,ABMA_met,CADE_met,JUNIPER_met,PICO_met,PIJE_met,PILA_met,PIMO_met,PIPO_met,PSME_met,QUCH_met,QUKE_met
25151971010900,"""""",2004,84159,38.661408,-120.496793,4300,1310.64,84159,70,California mixed conifer,10,0,1,84159,250.15774647887324,118.96310353348159,89.2223276501112,39.50335557202866,2.4689597232517912,178.82161942877903,41.05172152902594,41.05172152902595,1.5678055433388733,0,13.65564206990528,0,0,0,1.297171549966068,0,6.61429379716601,11.697803474436023,0,6.219005094213692
29880705010497,"""""",2009,52693,38.645817,-120.374576,5300,1615.44,52693,128-NA,California mixed conifer-NA,10-10,22-NA,0.9553-0.0447,52693,312.0516283666914,148.70387941685198,104.09271559179639,46.91023474178404,12.344798616258958,226.4675189159539,51.9896953824977,51.9896953824977,29.68771217566731,0,17.757971809086246,0,0,3.270898148871639,1.273113248872507,0,0,0,0,0
13101466010497,"""""",2005,55910,38.811989,-120.469484,4700,1432.5600000000002,55910,85-85,California mixed conifer-NA,10-10,0-0,0.8624-0.1376,55910,146.06503088707686,44.6111638250556,59.48155176674079,39.50335557202866,2.4689597232517912,124.03616820107723,28.474735061584898,28.474735061584898,22.951654010448596,0,3.2739364139049085,0,0,0,0,0,2.2491446372313937,0,0,0
24327917010900,"""""",2003,54216,38.480499,-120.240408,4300,1310.64,54216,250,California mixed conifer,10,0,1,54216,138.65815171732146,89.2223276501112,14.870387941685198,22.220637509266123,12.344798616258958,111.70997762022147,25.645036142319,25.645036142319,0,0,0,0,0,0,7.986705400578086,0,7.925925412948682,8.972707897240504,0.7596974315517285,0
24332526010900,"""""",2003,60444,38.605369,-120.371609,5700,1737.3600000000001,60444,80-85,California mixed conifer-NA,10-10,0-0,0.8068-0.1932,60444,619.391855695577,267.6669829503336,297.40775883370395,46.91023474178404,7.406879169755373,340.17010192160245,78.09216995793842,78.09216995793842,25.73323687860092,0,37.1940244422646,0,0,10.22973870258764,0,0,0,0,0,4.935169934485266
23653329010900,"""""",2001,51640,38.580809,-120.434995,4500,1371.6000000000001,51640,85,California mixed conifer,10,0,1,51640,294.76891030392886,118.96310353348159,133.8334914751668,41.97231529528045,0,182.19857640691208,41.826962788581994,41.826962788581994,7.156241298541878,0,11.775670338429677,0,0,4.725165293165219,4.509643564529247,1.3052410269319263,0,12.355001266984045,0,0
29880784010497,"""""",2009,92491,38.752073,-120.528858,4100,1249.68,92491,95-19,California mixed conifer-Ponderosa pine,40-40,0-0,0.9766-0.0234,92491,213.01009142574748,59.48155176674079,118.96310353348159,34.565436125525075,0,144.4910309378072,33.170516990330526,33.170516990330526,12.328075840396654,0,8.361716078488682,0,0,0,4.930056473460613,0,0,5.877782000297617,0,1.6728865976869596
22953269010497,"""""",2007,85417,38.606625,-120.430194,4700,1432.5600000000002,85417,125,Ponderosa pine,10,0,1,85417,329.27771682727945,178.4446553002224,59.48155176674079,71.59983197430195,19.75167778601433,297.50441307457425,68.29749310070386,68.29749310070386,3.1564139764203882,0,17.269471949965013,0,0,0,0.40155005085688966,0,47.47005712346157,0,0,0
24333331010900,"""""",2003,97297,38.758041,-120.42877,4100,1249.68,97297,125-125,California mixed conifer-NA,10-10,0-0,0.6891-0.3109,97297,287.24877192982456,89.2223276501112,133.8334914751668,46.91023474178404,17.282718062762537,300.38009166165403,68.9576568825826,68.9576568825826,4.032323547064666,0,28.711407842727915,0,0,0,1.3052410269319263,0,32.5446706273268,2.364013838531281,0,0
25152577010900,"""""",2004,73744,38.692684,-120.370471,5900,1798.3200000000002,73744,90-90,California mixed conifer-NA,10-10,0-0,0.75-0.25,73744,205.65984185816654,104.09271559179639,89.2223276501112,12.344798616258958,0,98.8938820479063,22.702870713973752,22.702870713973756,5.880668416971727,0,15.227711180999313,0,0,1.594491116002714,0,0,0,0,0,0
25154567010900,"""""",2004,99081,38.994512,-120.228624,6500,1981.2,99081,90,Lodgepole pine,10,0,1,99081,104.03608598962194,14.870387941685198,74.35193970842599,9.875838893007165,4.9379194465035825,81.88753895562948,18.79875854296595,18.79875854296595,0,0,0,0,12.407865360914299,6.390893182051652,0,0,0,0,0,0
24274941010900,"""""",2003,97519,39.100282,-120.42257,6300,1920.24,97519,120,Red fir,10,0,1,97519,247.74541635779588,118.96310353348159,104.09271559179639,24.689597232517915,0,148.73653515556896,34.145148902593654,34.145148902593654,12.510557614748095,20.43230177401759,0,0,0,0,1.202289513827969,0,0,0,0,0
23776442010900,"""""",2002,59106,39.040215,-120.462764,5500,1676.4,59106,70,California mixed conifer,40,0,1,59106,339.49333333333334,267.6669829503336,59.48155176674079,7.406879169755373,4.9379194465035825,119.32782379339088,27.393849852601157,27.393849852601157,0.8466534755916704,0,17.814309490210462,0,0,2.544700178070852,0,0,2.6843834498907193,0,0,3.503803258837453
23832707010900,"""""",2002,55365,38.528911,-120.238971,6100,1859.2800000000002,55365,300-60,California mixed conifer-Jeffrey pine,10-40,0-0,0.7048-0.2952,55365,190.67619471213246,118.96310353348159,29.740775883370397,14.813758339510747,27.158556955769708,183.30031230470064,42.07988609516551,42.07988609516552,6.978476244363191,0,7.304687962366646,0,0,16.112810546461162,10.152912292751346,0,0,0,0,1.5309990492231722
